sentiment-1 : word-1,sentiment-0 : word-0,sentiment-1 : word-0,lemma,word_set,accuracy
3831,12812,21169,bad,"{'bad', 'worse', 'badest', 'worst', 'bads'}",33357
9281,20474,15719,great,"{'great', 'greater', 'greats', 'greatest'}",29755
8239,20317,16761,love,"{'love', 'loves', 'loving', 'lovin', 'loved'}",28556
7228,21227,17772,perf,"{'perf', 'perfs'}",28455
10741,10885,14259,thing,"{'thing', 'things'}",28374
385,21514,24615,waste,"{'wasted', 'wastes', 'waste', 'wasting'}",28101
15499,12576,9501,gr,{'gr'},28075
399,21528,24601,wast,{'wast'},28073
2582,19413,22418,rib,"{'ribbed', 'ribs', 'rib'}",28005
12540,9486,12460,ould,{'ould'},27974
13714,8447,11286,thin,"{'thinner', 'thin', 'thinning', 'thinned', 'thinnest', 'thins'}",27839
13859,8538,11141,hing,{'hing'},27603
9513,18075,15487,ance,{'ance'},27588
907,21510,24093,poor,"{'poorest', 'poorer', 'poor'}",27583
9075,13363,15925,jus,{'jus'},27562
4013,18429,20987,plot,"{'plotting', 'plot', 'ploted', 'plots', 'plotted'}",27558
4163,18281,20837,acting,"{'acting', 'actings'}",27556
4160,18298,20840,actin,{'actin'},27542
14850,7629,10150,movie,"{'movied', 'movie', 'movies'}",27521
8839,18665,16161,als,{'als'},27504
1480,21019,23520,poo,{'poo'},27501
4329,23151,20671,cel,"{'cels', 'cel'}",27480
10875,11680,14125,oi,{'oi'},27445
337,22270,24663,awful,{'awful'},27393
7278,20100,17722,form,"{'formed', 'forming', 'form', 'forms'}",27378
6343,21035,18657,lend,"{'lended', 'lends', 'lending', 'lend', 'lent'}",27378
5157,22109,19843,forma,{'forma'},27266
3923,18814,21077,point,"{'pointed', 'pointing', 'point', 'points'}",27263
1953,20790,23047,nothing,"{'nothings', 'nuthin', 'nothin'}",27257
3007,24243,21993,ellen,{'ellen'},27250
4919,17846,20081,noth,{'noth'},27235
2923,24312,22077,excellent,{'excellent'},27235
15121,7659,9879,ting,"{'tings', 'ting'}",27220
5015,22183,19985,perform,"{'perform', 'performed', 'performing', 'performs'}",27198
15076,12085,9924,ove,{'ove'},27161
3430,23729,21570,beaut,{'beaut'},27159
1829,21015,23171,minute,"{'minuted', 'minutest', 'minute', 'minutes'}",27156
2867,24284,22133,excel,"{'excelling', 'excel', 'excelled', 'excels'}",27151
4833,22311,20167,joy,"{'joyed', 'joy', 'joys'}",27144
5376,17496,19624,ute,{'ute'},27128
2807,24303,22193,excell,{'excell'},27110
3305,23797,21695,cell,"{'cell', 'cells'}",27102
2652,24418,22348,wonderful,{'wonderful'},27070
4459,22609,20541,performance,"{'performance', 'performances'}",27068
551,22402,24449,stupid,"{'stupids', 'stupid', 'stupidest'}",27047
15974,7000,9026,mov,{'mov'},27026
2936,24079,22064,perfect,"{'perfect', 'perfects', 'perfecting', 'perfected'}",27015
9997,12988,15003,hey,{'hey'},27015
3627,19362,21373,rip,"{'riped', 'ripping', 'rips', 'rip', 'ripped'}",27011
11353,11663,13647,ste,{'ste'},26984
3084,23890,21916,beautiful,"{'beautifulest', 'beautiful'}",26974
19883,3149,5117,ad,"{'ad', 'ads'}",26968
7823,15210,17177,lot,"{'lot', 'lots'}",26967
12562,14393,12438,ye,{'ye'},26955
16169,6881,8831,tin,"{'tin', 'tinned', 'tins'}",26950
9479,17466,15521,win,"{'win', 'wins', 'won', 'winning'}",26945
4456,22487,20544,enjoy,"{'enjoyed', 'enjoy', 'enjoys', 'enjoying'}",26943
381,22711,24619,terrible,"{'terrible', 'terribles'}",26908
20179,6729,4821,eat,"{'eaten', 'eats', 'ate', 'eat', 'eating'}",26908
6478,20429,18522,life,"{'lifes', 'lives', 'life'}",26907
9914,16976,15086,fin,"{'fin', 'fins'}",26890
618,22502,24382,boring,"{'boringest', 'boring'}",26880
950,22197,24050,suppose,"{'supposes', 'suppose', 'supposed', 'supposing'}",26853
2060,21103,22940,script,"{'scripted', 'script', 'scripts'}",26837
